ablation_a,brier_score_delta,competition,fold,log_loss_delta,match_date,match_id,model_a,model_b,pair,ranked_probability_score_delta
contextual_logistic,0.2012116043,FIFA World Cup,world_cup_2022,0.2341891881,2022-11-30,international_results_csv-064a18ffdf283cf53f0d,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.1201897464
contextual_logistic,-0.0498897968,FIFA World Cup,world_cup_2018,-0.0756534155,2018-07-02,international_results_csv-06e35fd48600c0af0762,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0127224148
contextual_logistic,-0.1085514429,Copa América,copa_america_2024,-0.1144530180,2024-06-24,international_results_csv-078d38951aa268590396,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0426371405
contextual_logistic,-0.0178751521,FIFA World Cup,world_cup_2022,-0.1260622413,2022-12-01,international_results_csv-083a7495e6b01a59a23e,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0077433506
contextual_logistic,0.0237420724,FIFA World Cup,world_cup_2018,0.0293598234,2018-06-26,international_results_csv-08704102bb3f34a36601,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0214452567
contextual_logistic,-0.0701579173,FIFA World Cup,world_cup_2022,-0.1051184212,2022-11-26,international_results_csv-0c11873de872f27abde2,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0096459896
contextual_logistic,-0.1921256468,Copa América,copa_america_2024,-0.2559849771,2024-07-01,international_results_csv-0ccde3f3b100ac5784d7,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0853635824
contextual_logistic,-0.0527968858,Copa América,copa_america_2024,-0.1046243368,2024-06-20,international_results_csv-0da3fdd58b0bcb55a9c3,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0183785275
contextual_logistic,-0.1155738898,FIFA World Cup,world_cup_2022,-0.2939135097,2022-12-10,international_results_csv-0e7928798157c7c63e46,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0393001017
contextual_logistic,-0.1070268115,FIFA World Cup,world_cup_2022,-0.1538686920,2022-12-04,international_results_csv-0f95621134a4fb0d6bf9,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0365826786
contextual_logistic,0.1108430590,UEFA Euro,euro_2024,0.2259535219,2024-06-17,international_results_csv-0fa1a1ae832ba71ee709,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0604481536
contextual_logistic,0.0005572691,UEFA Euro,euro_2024,0.0026773832,2024-06-30,international_results_csv-11619d81a979cc5fe28d,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0010369314
contextual_logistic,0.0355693394,FIFA World Cup,world_cup_2022,0.0490878776,2022-12-01,international_results_csv-11e2bd3b4a7ef125ac5f,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0271986728
contextual_logistic,0.0342245913,FIFA World Cup,world_cup_2022,0.0461317056,2022-11-23,international_results_csv-1252b10377cebb51c211,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0077824836
contextual_logistic,-0.0413798991,FIFA World Cup,world_cup_2022,-0.0606416261,2022-12-13,international_results_csv-12c013cde27369d2c962,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0109718777
