canonical_team_id,source,source_name,valid_from,valid_to,notes
sealand,international_results_csv,Sealand,,,Exact observed source name from martj42/international_results.
seborga,international_results_csv,Seborga,,,Exact observed source name from martj42/international_results.
senegal,international_results_csv,Senegal,,,Exact observed source name from martj42/international_results.
serbia,international_results_csv,Serbia,,,Exact observed source name from martj42/international_results.
seychelles,international_results_csv,Seychelles,,,Exact observed source name from martj42/international_results.
shetland,international_results_csv,Shetland,,,Exact observed source name from martj42/international_results.
sierra_leone,international_results_csv,Sierra Leone,,,Exact observed source name from martj42/international_results.
silesia,international_results_csv,Silesia,,,Exact observed source name from martj42/international_results.
singapore,international_results_csv,Singapore,,,Exact observed source name from martj42/international_results.
sint_maarten,international_results_csv,Sint Maarten,,,Exact observed source name from martj42/international_results.
slovakia,international_results_csv,Slovakia,,,Exact observed source name from martj42/international_results.
slovenia,international_results_csv,Slovenia,,,Exact observed source name from martj42/international_results.
solomon_islands,international_results_csv,Solomon Islands,,,Exact observed source name from martj42/international_results.
somalia,international_results_csv,Somalia,,,Exact observed source name from martj42/international_results.
somaliland,international_results_csv,Somaliland,,,Exact observed source name from martj42/international_results.
south_africa,international_results_csv,South Africa,,,Exact observed source name from martj42/international_results.
south_korea,international_results_csv,South Korea,,,Exact observed source name from martj42/international_results.
south_ossetia,international_results_csv,South Ossetia,,,Exact observed source name from martj42/international_results.
south_sudan,international_results_csv,South Sudan,,,Exact observed source name from martj42/international_results.
south_yemen,international_results_csv,South Yemen,,,Exact observed source name from martj42/international_results.
spain,international_results_csv,Spain,,,Exact observed source name from martj42/international_results.
sri_lanka,international_results_csv,Sri Lanka,,,Exact observed source name from martj42/international_results.
sudan,international_results_csv,Sudan,,,Exact observed source name from martj42/international_results.
suriname,international_results_csv,Suriname,,,Exact observed source name from martj42/international_results.
surrey,international_results_csv,Surrey,,,Exact observed source name from martj42/international_results.
sweden,international_results_csv,Sweden,,,Exact observed source name from martj42/international_results.
switzerland,international_results_csv,Switzerland,,,Exact observed source name from martj42/international_results.
syria,international_results_csv,Syria,,,Exact observed source name from martj42/international_results.
szekely_land,international_results_csv,Székely Land,,,Exact observed source name from martj42/international_results.
sapmi,international_results_csv,Sápmi,,,Exact observed source name from martj42/international_results.
sao_tome_and_principe,international_results_csv,São Tomé and Príncipe,,,Exact observed source name from martj42/international_results.
tahiti,international_results_csv,Tahiti,,,Exact observed source name from martj42/international_results.
taiwan,international_results_csv,Taiwan,,,Exact observed source name from martj42/international_results.
tajikistan,international_results_csv,Tajikistan,,,Exact observed source name from martj42/international_results.
tamil_eelam,international_results_csv,Tamil Eelam,,,Exact observed source name from martj42/international_results.
tanzania,international_results_csv,Tanzania,,,Exact observed source name from martj42/international_results.
thailand,international_results_csv,Thailand,,,Exact observed source name from martj42/international_results.
tibet,international_results_csv,Tibet,,,Exact observed source name from martj42/international_results.
ticino,international_results_csv,Ticino,,,Exact observed source name from martj42/international_results.
timor_leste,international_results_csv,Timor-Leste,,,Exact observed source name from martj42/international_results.
togo,international_results_csv,Togo,,,Exact observed source name from martj42/international_results.
tonga,international_results_csv,Tonga,,,Exact observed source name from martj42/international_results.
trinidad_and_tobago,international_results_csv,Trinidad and Tobago,,,Exact observed source name from martj42/international_results.
tunisia,international_results_csv,Tunisia,,,Exact observed source name from martj42/international_results.
turkey,international_results_csv,Turkey,,,Exact observed source name from martj42/international_results.
turkmenistan,international_results_csv,Turkmenistan,,,Exact observed source name from martj42/international_results.
turks_and_caicos_islands,international_results_csv,Turks and Caicos Islands,,,Exact observed source name from martj42/international_results.
tuvalu,international_results_csv,Tuvalu,,,Exact observed source name from martj42/international_results.
two_sicilies,international_results_csv,Two Sicilies,,,Exact observed source name from martj42/international_results.
uganda,international_results_csv,Uganda,,,Exact observed source name from martj42/international_results.
ukraine,international_results_csv,Ukraine,,,Exact observed source name from martj42/international_results.
united_arab_emirates,international_results_csv,United Arab Emirates,,,Exact observed source name from martj42/international_results.
united_koreans_in_japan,international_results_csv,United Koreans in Japan,,,Exact observed source name from martj42/international_results.
united_states,international_results_csv,United States,,,Exact observed source name from martj42/international_results.
united_states_virgin_islands,international_results_csv,United States Virgin Islands,,,Exact observed source name from martj42/international_results.
uruguay,international_results_csv,Uruguay,,,Exact observed source name from martj42/international_results.
uzbekistan,international_results_csv,Uzbekistan,,,Exact observed source name from martj42/international_results.
vanuatu,international_results_csv,Vanuatu,,,Exact observed source name from martj42/international_results.
vatican_city,international_results_csv,Vatican City,,,Exact observed source name from martj42/international_results.
venezuela,international_results_csv,Venezuela,,,Exact observed source name from martj42/international_results.
vietnam,international_results_csv,Vietnam,,,Exact observed source name from martj42/international_results.
vietnam_republic,international_results_csv,Vietnam Republic,,,Exact observed source name from martj42/international_results.
wales,international_results_csv,Wales,,,Exact observed source name from martj42/international_results.
wallis_islands_and_futuna,international_results_csv,Wallis Islands and Futuna,,,Exact observed source name from martj42/international_results.
west_papua,international_results_csv,West Papua,,,Exact observed source name from martj42/international_results.
western_armenia,international_results_csv,Western Armenia,,,Exact observed source name from martj42/international_results.
western_australia,international_results_csv,Western Australia,,,Exact observed source name from martj42/international_results.
western_isles,international_results_csv,Western Isles,,,Exact observed source name from martj42/international_results.
western_sahara,international_results_csv,Western Sahara,,,Exact observed source name from martj42/international_results.
yemen,international_results_csv,Yemen,,,Exact observed source name from martj42/international_results.
yemen_dpr,international_results_csv,Yemen DPR,,,Exact observed source name from martj42/international_results.
ynys_mon,international_results_csv,Ynys Môn,,,Exact observed source name from martj42/international_results.
yorkshire,international_results_csv,Yorkshire,,,Exact observed source name from martj42/international_results.
yoruba_nation,international_results_csv,Yoruba Nation,,,Exact observed source name from martj42/international_results.
yugoslavia,international_results_csv,Yugoslavia,,,Exact observed source name from martj42/international_results.
zambia,international_results_csv,Zambia,,,Exact observed source name from martj42/international_results.
zanzibar,international_results_csv,Zanzibar,,,Exact observed source name from martj42/international_results.
zimbabwe,international_results_csv,Zimbabwe,,,Exact observed source name from martj42/international_results.
aland_islands,international_results_csv,Åland Islands,,,Exact observed source name from martj42/international_results.
bosnia_and_herzegovina,world_cup_2026_football_data,Bosnia-Herzegovina,,,Exact observed Football-Data World Cup 2026 source name.
cape_verde,world_cup_2026_football_data,Cape Verde Islands,,,Exact observed Football-Data World Cup 2026 source name.
dr_congo,world_cup_2026_football_data,Congo DR,,,Exact observed Football-Data World Cup 2026 source name.
czech_republic,world_cup_2026_football_data,Czechia,,,Exact observed Football-Data World Cup 2026 source name.
